Validation,Normalization,Model,Threshold,Consecutive_Hits,Early_Tol_Frac,Late_Tol_Frac,Base_T_tol_early_Frac,Base_T_tol_late_Frac,Base_T_far_early_Frac,Base_T_far_late_Frac,Score,MAE,Mean_Delta,Missed_Alerts,Tol_Early_Rate,Tol_Late_Rate,Far_Early_Rate,Far_Late_Rate
Hold-out,Z-Score,Gradient Boosting,0.7,2,0.06,0.08,0.12,0.08,0.06,0.03,205.12842877241542,9.50625,-8.38125,0,18.8%,25.0%,56.2%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.7,2,0.06,0.1,0.12,0.08,0.06,0.03,205.12842877241542,9.50625,-8.38125,0,18.8%,25.0%,56.2%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,2,0.06,0.08,0.12,0.08,0.06,0.03,205.12842877241542,9.50625,-8.38125,0,18.8%,25.0%,56.2%,0.0%
Hold-out,Z-Score,Gradient Boosting,0.7,2,0.06,0.12,0.12,0.08,0.06,0.03,205.12842877241542,9.50625,-8.38125,0,18.8%,25.0%,56.2%,0.0%
Hold-out,MinMax,Gradient Boosting,0.7,2,0.06,0.12,0.12,0.08,0.06,0.03,205.12842877241542,9.50625,-8.38125,0,18.8%,25.0%,56.2%,0.0%
K-Fold (5),MinMax,Logistic Regression,0.6,2,0.1,0.1,0.12,0.08,0.06,0.03,208.51499341340082,10.525,-0.3875000000000002,0,25.0%,43.8%,18.8%,12.5%
K-Fold (5),Z-Score,Logistic Regression,0.6,2,0.1,0.1,0.12,0.08,0.06,0.03,208.61180526403783,10.625,-0.32499999999999973,0,18.8%,50.0%,18.8%,12.5%
K-Fold (5),MinMax,Logistic Regression,0.6,2,0.08,0.1,0.12,0.08,0.06,0.03,210.90569104806565,10.525,-0.3875000000000002,0,18.8%,43.8%,25.0%,12.5%
K-Fold (5),Z-Score,Logistic Regression,0.6,2,0.08,0.1,0.12,0.08,0.06,0.03,211.00250289870263,10.625,-0.32499999999999973,0,12.5%,50.0%,25.0%,12.5%
K-Fold (5),MinMax,Logistic Regression,0.6,2,0.06,0.1,0.12,0.08,0.06,0.03,212.51029794897312,10.525,-0.3875000000000002,0,12.5%,43.8%,31.2%,12.5%
K-Fold (5),Z-Score,Logistic Regression,0.6,2,0.06,0.1,0.12,0.08,0.06,0.03,213.07419631929076,10.625,-0.32499999999999973,0,6.2%,50.0%,31.2%,12.5%
Hold-out,Z-Score,Logistic Regression,0.6,2,0.1,0.12,0.12,0.08,0.06,0.03,215.45454391187462,11.362499999999999,-9.187499999999998,0,37.5%,12.5%,50.0%,0.0%
K-Fold (5),MinMax,Logistic Regression,0.5,2,0.1,0.12,0.12,0.08,0.06,0.03,215.67674502310103,12.2375,-5.45,0,31.2%,37.5%,31.2%,0.0%
Hold-out,Z-Score,Logistic Regression,0.6,2,0.08,0.12,0.12,0.08,0.06,0.03,218.04490282738655,11.362499999999999,-9.187499999999998,0,31.2%,12.5%,56.2%,0.0%
Hold-out,Z-Score,Logistic Regression,0.6,2,0.06,0.12,0.12,0.08,0.06,0.03,220.11081865101642,11.362499999999999,-9.187499999999998,0,25.0%,12.5%,62.5%,0.0%
K-Fold (5),MinMax,Logistic Regression,0.5,2,0.08,0.12,0.12,0.08,0.06,0.03,220.81561902995827,12.2375,-5.45,0,18.8%,37.5%,43.8%,0.0%
K-Fold (5),MinMax,Logistic Regression,0.5,2,0.06,0.12,0.12,0.08,0.06,0.03,220.81561902995827,12.2375,-5.45,0,18.8%,37.5%,43.8%,0.0%
Hold-out,Z-Score,XGBoost,0.5,3,0.1,0.08,0.12,0.08,0.06,0.03,226.06561391396176,9.53125,-9.268749999999999,0,56.2%,6.2%,37.5%,0.0%
Hold-out,Z-Score,XGBoost,0.5,3,0.1,0.1,0.12,0.08,0.06,0.03,226.06561391396176,9.53125,-9.268749999999999,0,56.2%,6.2%,37.5%,0.0%
Hold-out,Z-Score,XGBoost,0.5,3,0.1,0.12,0.12,0.08,0.06,0.03,226.06561391396176,9.53125,-9.268749999999999,0,56.2%,6.2%,37.5%,0.0%
Hold-out,MinMax,XGBoost,0.5,3,0.1,0.08,0.12,0.08,0.06,0.03,226.06561391396176,9.53125,-9.268749999999999,0,56.2%,6.2%,37.5%,0.0%
Hold-out,MinMax,XGBoost,0.5,3,0.1,0.1,0.12,0.08,0.06,0.03,226.06561391396176,9.53125,-9.268749999999999,0,56.2%,6.2%,37.5%,0.0%
Hold-out,MinMax,XGBoost,0.5,3,0.1,0.12,0.12,0.08,0.06,0.03,226.06561391396176,9.53125,-9.268749999999999,0,56.2%,6.2%,37.5%,0.0%
Hold-out,MinMax,XGBoost,0.5,3,0.08,0.08,0.12,0.08,0.06,0.03,228.0823740699443,9.53125,-9.268749999999999,0,50.0%,6.2%,43.8%,0.0%
Hold-out,MinMax,XGBoost,0.5,3,0.08,0.1,0.12,0.08,0.06,0.03,228.0823740699443,9.53125,-9.268749999999999,0,50.0%,6.2%,43.8%,0.0%
Hold-out,Z-Score,XGBoost,0.5,3,0.08,0.1,0.12,0.08,0.06,0.03,228.0823740699443,9.53125,-9.268749999999999,0,50.0%,6.2%,43.8%,0.0%
